GEO,GEO_OBJECT,FREQ,RP_MEASURE,OCS,OBS_STATUS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
16015,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,22534.73072
16015,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,508.32967
16015,COM,A,DWELLINGS,DW_VAC,A,NR,2017,3048.42893
16015,COM,A,DWELLINGS,_T,A,NR,2017,26091.48932
16015,COM,A,POP,_T,A,NR,2017,41740.0
16015,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,23685.34425
16015,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,837.22335
16015,COM,A,DWELLINGS,DW_VAC,A,NR,2023,2424.15844
16015,COM,A,DWELLINGS,_T,A,NR,2023,26946.72603
16015,COM,A,POP,_T,A,NR,2023,41908.0
16102,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,9823.48797
16102,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,306.09801
16102,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1161.49136
16102,COM,A,DWELLINGS,_T,A,NR,2017,11291.07734
16102,COM,A,POP,_T,A,NR,2017,18825.0
16102,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,10083.98558
16102,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,318.02528
16102,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1122.50933
16102,COM,A,DWELLINGS,_T,A,NR,2023,11524.52019
16102,COM,A,POP,_T,A,NR,2023,18532.0
17299,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,12648.84659
17299,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,1440.62356
17299,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1349.73843
17299,COM,A,DWELLINGS,_T,A,NR,2017,15439.20858
17299,COM,A,POP,_T,A,NR,2017,24151.0
17299,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,12923.69607
17299,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1862.49395
17299,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1421.38238
17299,COM,A,DWELLINGS,_T,A,NR,2023,16207.5724
17299,COM,A,POP,_T,A,NR,2023,23460.0
17306,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,10882.38597
17306,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,8886.08712
17306,COM,A,DWELLINGS,DW_VAC,A,NR,2017,729.25358
17306,COM,A,DWELLINGS,_T,A,NR,2017,20497.72667
17306,COM,A,POP,_T,A,NR,2017,18398.0
17306,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,11916.30094
17306,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,9347.00861
17306,COM,A,DWELLINGS,DW_VAC,A,NR,2023,694.40977
17306,COM,A,DWELLINGS,_T,A,NR,2023,21957.71931
17306,COM,A,POP,_T,A,NR,2023,19425.0
17415,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,13601.76329
17415,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,393.81975
17415,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1532.24166
17415,COM,A,DWELLINGS,_T,A,NR,2017,15527.8247
17415,COM,A,POP,_T,A,NR,2017,25470.0
17415,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,14102.93657
17415,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,421.50085
17415,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1369.46974
17415,COM,A,DWELLINGS,_T,A,NR,2023,15893.90716
17415,COM,A,POP,_T,A,NR,2023,25363.0
19031,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,23963.88489
19031,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,855.46415
19031,COM,A,DWELLINGS,DW_VAC,A,NR,2017,3665.96892
19031,COM,A,DWELLINGS,_T,A,NR,2017,28485.31796
19031,COM,A,POP,_T,A,NR,2017,46916.0
19031,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,25087.97043
19031,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1316.79665
19031,COM,A,DWELLINGS,DW_VAC,A,NR,2023,3160.5822
19031,COM,A,DWELLINGS,_T,A,NR,2023,29565.34928
19031,COM,A,POP,_T,A,NR,2023,47095.0
24037,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,14041.0661
24037,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,604.57826
24037,COM,A,DWELLINGS,DW_VAC,A,NR,2017,2250.38019
24037,COM,A,DWELLINGS,_T,A,NR,2017,16896.02455
24037,COM,A,POP,_T,A,NR,2017,26833.0
24037,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,14786.94732
24037,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,786.08335
24037,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1652.64559
24037,COM,A,DWELLINGS,_T,A,NR,2023,17225.67626
24037,COM,A,POP,_T,A,NR,2023,27110.0
24322,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,16960.87168
24322,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,674.03943
24322,COM,A,DWELLINGS,DW_VAC,A,NR,2017,2548.06973
24322,COM,A,DWELLINGS,_T,A,NR,2017,20182.98084
24322,COM,A,POP,_T,A,NR,2017,29966.0
24322,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,17083.50056
24322,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1130.25528
24322,COM,A,DWELLINGS,DW_VAC,A,NR,2023,2557.01559
24322,COM,A,DWELLINGS,_T,A,NR,2023,20770.77143
24322,COM,A,POP,_T,A,NR,2023,29055.0
33243,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,12186.81159
33243,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,232.93739
33243,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1358.15187
33243,COM,A,DWELLINGS,_T,A,NR,2017,13777.90086
33243,COM,A,POP,_T,A,NR,2017,24845.0
33243,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,12564.31109
33243,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,431.55297
33243,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1431.06388
33243,COM,A,DWELLINGS,_T,A,NR,2023,14426.92795
33243,COM,A,POP,_T,A,NR,2023,25036.0
40088,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,11609.66445
40088,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,2802.87717
40088,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1628.4051
40088,COM,A,DWELLINGS,_T,A,NR,2017,16040.94672
40088,COM,A,POP,_T,A,NR,2017,20681.0
40088,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,12670.81549
40088,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,2905.24891
40088,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1767.11237
40088,COM,A,DWELLINGS,_T,A,NR,2023,17343.17676
40088,COM,A,POP,_T,A,NR,2023,22109.0
40192,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,14367.95332
40192,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,339.457
40192,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1626.47371
40192,COM,A,DWELLINGS,_T,A,NR,2017,16333.88403
40192,COM,A,POP,_T,A,NR,2017,29554.0
40192,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,15745.32684
40192,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,500.85985
40192,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1190.32104
40192,COM,A,DWELLINGS,_T,A,NR,2023,17436.50773
40192,COM,A,POP,_T,A,NR,2023,31592.0
47001,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,17536.56299
47001,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,842.65483
47001,COM,A,DWELLINGS,DW_VAC,A,NR,2017,3242.36314
47001,COM,A,DWELLINGS,_T,A,NR,2017,21621.58096
47001,COM,A,POP,_T,A,NR,2017,33576.0
47001,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,17721.79439
47001,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1289.55644
