"DEPCOM","millesime","nb_logt_total","nb_ls_actif","nb_ls_qpv","nb_ls_coll","nb_ls_ind","nb_ls_etu","nb_ls_loue","nb_ls_vacant","nb_ls_vacant_3","nb_ls_vide","nb_ls_association","nb_ls_autre","num_mob","denom_mob","nb_mes","nb_ls_age_0_5","nb_ls_age_5_10","nb_ls_age_10_20","nb_ls_age_20_40","nb_ls_age_40_60","nb_ls_age_60_plus","nb_ls_dpe_realise","nb_ls_dpe_new_ener_A","nb_ls_dpe_new_ener_B","nb_ls_dpe_new_ener_C","nb_ls_dpe_new_ener_D","nb_ls_dpe_new_ener_E","nb_ls_dpe_new_ener_F","nb_ls_dpe_new_ener_G","somme_loyer","somme_surface"
"01001",2025,32,32,0,4,28,0,32,0,0,0,0,0,3,32,0,10,4,4,14,0,0,32,0,14,0,4,2,4,0,15552,2370
"01004",2025,2266,2092,645,1960,132,0,1918,67,45,59,2,46,207,1983,2,141,347,335,363,612,294,2054,60,86,379,81,26,5,5,821580,129001
"01005",2025,120,120,0,108,12,0,113,3,0,3,0,1,17,114,2,40,45,12,4,14,5,105,3,3,24,1,0,0,0,53604,7516
"01007",2025,129,129,0,91,38,0,122,3,1,0,0,4,14,125,0,0,51,5,15,39,19,128,0,0,35,12,9,3,0,49966,8533
"01008",2025,17,17,0,13,4,0,17,0,0,0,0,0,1,17,0,0,4,13,0,0,0,17,0,4,13,0,0,0,0,9223,1165
"01010",2025,44,44,0,27,17,0,44,0,0,0,0,0,6,44,0,0,0,0,17,27,0,44,0,0,0,0,5,12,0,20478,3366
"01011",2025,24,24,0,11,13,0,23,0,0,0,0,1,0,23,0,0,13,8,0,0,3,24,0,0,9,5,2,0,0,12564,1783
"01012",2025,10,10,0,6,4,0,9,1,1,0,0,0,2,10,0,0,3,7,0,0,0,9,0,0,0,1,4,0,0,4299,690
"01013",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1114,176
"01014",2025,377,377,0,346,31,0,338,24,15,5,0,10,24,362,0,0,16,69,0,292,0,376,0,0,16,17,25,3,0,121623,21755
"01015",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1012,162
"01016",2025,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,0,0,0,0,0
"01017",2025,5,5,0,0,5,0,4,0,0,1,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1989,328
"01021",2025,43,43,0,21,22,0,41,1,0,0,0,1,0,42,0,6,0,6,31,0,0,28,0,0,9,8,0,1,0,19941,2960
"01022",2025,89,89,0,67,22,0,79,9,8,0,0,1,6,88,0,0,5,7,15,40,22,88,0,0,0,21,30,11,0,32635,5412
"01024",2025,186,186,0,110,76,0,180,2,0,0,0,4,20,158,24,47,50,64,22,3,0,186,3,21,118,3,0,0,0,78841,12215
"01025",2025,86,86,0,9,77,0,81,0,0,1,0,4,3,77,4,4,19,22,41,0,0,86,0,0,36,2,17,0,0,39072,6192
"01026",2025,54,54,0,25,29,0,51,1,1,0,0,2,4,52,0,0,15,17,8,14,0,54,0,0,11,1,5,0,0,23858,3832
"01027",2025,123,91,0,72,19,0,83,2,0,4,0,2,10,85,0,0,17,74,0,0,0,86,0,0,40,0,0,0,0,44299,5774
"01028",2025,6,6,0,6,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,2603,407
"01029",2025,34,34,0,5,29,0,34,0,0,0,0,0,3,34,0,10,0,6,18,0,0,34,0,0,0,1,19,0,0,15261,2480
"01030",2025,79,79,0,51,28,0,73,2,1,1,0,3,4,75,0,0,0,0,28,27,24,79,0,0,0,29,0,0,0,32363,4894
"01031",2025,768,768,454,728,40,0,692,24,19,27,0,25,77,709,7,7,0,45,286,381,49,768,0,0,263,123,2,0,3,272205,44674
"01032",2025,390,329,0,167,162,0,301,6,2,18,0,4,35,307,0,0,0,49,175,89,16,328,0,0,67,100,1,0,0,171113,24565
"01033",2025,2165,2077,0,1886,191,0,1885,62,30,62,10,58,116,1947,0,142,174,160,412,813,376,2040,0,3,306,211,84,19,1,795221,127051
"01034",2025,1141,1125,499,1001,124,0,993,46,30,65,0,21,84,1039,0,25,68,121,153,501,257,1087,3,102,352,99,55,0,0,387599,63615
"01035",2025,6,6,0,4,2,0,6,0,0,0,0,0,2,6,0,0,6,0,0,0,0,6,0,0,0,2,0,0,0,2654,444
"01036",2025,29,29,0,3,26,0,29,0,0,0,0,0,4,29,0,0,0,8,18,0,3,29,0,0,8,6,14,0,1,16136,2317
"01038",2025,24,24,0,17,7,0,24,0,0,0,0,0,5,24,0,0,22,0,0,0,2,24,0,0,0,0,0,2,0,10183,1489
"01041",2025,22,22,0,17,5,0,20,2,2,0,0,0,3,22,0,0,4,0,17,0,1,22,0,0,1,3,1,0,0,9976,1478
"01042",2025,14,14,0,0,14,0,14,0,0,0,0,0,2,14,0,6,4,4,0,0,0,14,0,4,8,2,0,0,0,6425,1072
"01043",2025,331,331,0,312,19,0,326,3,0,0,0,2,10,298,31,179,58,34,60,0,0,285,9,23,175,20,0,0,0,170389,21764
"01044",2025,85,31,0,3,28,0,29,1,0,0,0,1,2,30,0,0,0,15,16,0,0,31,0,0,0,1,10,2,0,15236,2385
"01046",2025,12,12,0,0,12,0,12,0,0,0,0,0,4,12,0,0,0,6,6,0,0,12,0,0,6,6,0,0,0,6046,912
"01047",2025,54,54,0,26,28,0,52,1,0,1,0,0,6,53,0,13,30,11,0,0,0,49,0,0,23,5,0,0,0,28773,3836
"01049",2025,134,134,0,88,46,0,129,1,0,1,0,3,11,130,0,22,69,0,25,0,18,125,0,2,51,2,2,0,0,66712,8728
"01051",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1031,165
